"Prospect Name","Domain","Relevant URL","Category","Country/Market","Audience","Why Relevant to Nexora","Observed Link Opportunity","Suggested Nexora Target Page","Suggested Pitch Angle","Contact Route","Contact Page","Editorial/Submission Guidelines","Quality Rating","Relevance Rating","Difficulty Rating","Lead Potential","Link Potential","Priority Score","Status","Notes"
"Solar United Neighbors","solarunitedneighbors.org","https://solarunitedneighbors.org/","Solar nonprofit","United States / national or stated audience","US homeowners","Active, editorially credible solar nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Clean Energy States Alliance","cleanegroup.org","https://www.cesa.org/","Clean-energy nonprofit","United States / national or stated audience","State energy stakeholders","Active, editorially credible clean-energy nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Interstate Renewable Energy Council","irecusa.org","https://irecusa.org/","Clean-energy nonprofit","United States / national or stated audience","Energy educators and professionals","Active, editorially credible clean-energy nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"American Solar Energy Society","ases.org","https://ases.org/","Solar association","United States / national or stated audience","Solar community","Active, editorially credible solar association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Midwest Renewable Energy Association","the-mrea.org","https://www.the-mrea.org/","Renewable-energy nonprofit","United States / national or stated audience","Midwest homeowners","Active, editorially credible renewable-energy nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Rocky Mountain Institute","rmi.org","https://rmi.org/","Energy research nonprofit","United States / national or stated audience","Energy decision makers","Active, editorially credible energy research nonprofit with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"ACEEE","aceee.org","https://www.aceee.org/","Energy-efficiency nonprofit","United States / national or stated audience","Efficiency advocates","Active, editorially credible energy-efficiency nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Environment America","environmentamerica.org","https://environmentamerica.org/","Environmental nonprofit","United States / national or stated audience","US consumers","Active, editorially credible environmental nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"NRDC","nrdc.org","https://www.nrdc.org/","Environmental nonprofit","United States / national or stated audience","US consumers","Active, editorially credible environmental nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Sierra Club","sierraclub.org","https://www.sierraclub.org/","Environmental nonprofit","United States / national or stated audience","US consumers","Active, editorially credible environmental nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"The Climate Reality Project","climaterealityproject.org","https://www.climaterealityproject.org/","Climate nonprofit","United States / national or stated audience","Climate advocates","Active, editorially credible climate nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Vote Solar","votesolar.org","https://votesolar.org/","Solar advocacy nonprofit","United States / national or stated audience","Solar advocates","Active, editorially credible solar advocacy nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"American Clean Power","cleanpower.org","https://cleanpower.org/","Clean-power association","United States / national or stated audience","Energy professionals","Active, editorially credible clean-power association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Smart Electric Power Alliance","sepapower.org","https://sepapower.org/","Utility/energy association","United States / national or stated audience","Utilities and energy professionals","Active, editorially credible utility/energy association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"GRID Alternatives","gridalternatives.org","https://gridalternatives.org/","Solar access nonprofit","United States / national or stated audience","Community solar supporters","Active, editorially credible solar access nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Rewiring America","rewiringamerica.org","https://www.rewiringamerica.org/","Home electrification nonprofit","United States / national or stated audience","US homeowners","Active, editorially credible home electrification nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Energy Trust of Oregon","energytrust.org","https://www.energytrust.org/","Energy-efficiency program","United States / national or stated audience","Oregon homeowners","Active, editorially credible energy-efficiency program with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"NYSERDA","nyserda.ny.gov","https://www.nyserda.ny.gov/","State energy resource","United States / national or stated audience","New York homeowners","Active, editorially credible state energy resource with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"California Energy Commission","energy.ca.gov","https://www.energy.ca.gov/","State energy resource","United States / national or stated audience","California homeowners","Active, editorially credible state energy resource with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Mass Save","masssave.com","https://www.masssave.com/","Efficiency program","United States / national or stated audience","Massachusetts homeowners","Active, editorially credible efficiency program with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"PACENation","pacenation.org","https://pacenation.org/","PACE finance association","United States / national or stated audience","Property owners","Active, editorially credible pace finance association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"SolSmart","solsmart.org","https://solsmart.org/","Solar readiness program","United States / national or stated audience","Local governments","Active, editorially credible solar readiness program with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"ENERGY STAR","energystar.gov","https://www.energystar.gov/","Government efficiency resource","United States / national or stated audience","US homeowners","Active, editorially credible government efficiency resource with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Better Buildings","betterbuildingssolutioncenter.energy.gov","https://betterbuildingssolutioncenter.energy.gov/","Government efficiency resource","United States / national or stated audience","Building owners","Active, editorially credible government efficiency resource with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"National Association of Realtors","nar.realtor","https://www.nar.realtor/","Real-estate association","United States / national or stated audience","Real-estate professionals","Active, editorially credible real-estate association with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"US Green Building Council","usgbc.org","https://www.usgbc.org/","Green-building association","United States / national or stated audience","Building professionals","Active, editorially credible green-building association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"National Association of Home Builders","nahb.org","https://www.nahb.org/","Home-building association","United States / national or stated audience","Home builders","Active, editorially credible home-building association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Home Energy Magazine","homeenergy.org","https://homeenergy.org/","Home-performance publication","United States / national or stated audience","Home energy professionals","Active, editorially credible home-performance publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Green Builder Media","greenbuildermedia.com","https://www.greenbuildermedia.com/","Green-building publication","United States / national or stated audience","Home builders and homeowners","Active, editorially credible green-building publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Build with Rise","buildwithrise.com","https://www.buildwithrise.com/","Sustainable-home editorial","United States / national or stated audience","Homeowners","Active, editorially credible sustainable-home editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Treehugger","treehugger.com","https://www.treehugger.com/","Sustainability editorial","United States / national or stated audience","Sustainability-minded consumers","Active, editorially credible sustainability editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Earth911","earth911.com","https://earth911.com/","Sustainability resource","United States / national or stated audience","US consumers","Active, editorially credible sustainability resource with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"EcoWatch","ecowatch.com","https://www.ecowatch.com/","Environmental editorial","United States / national or stated audience","US consumers","Active, editorially credible environmental editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Carbon Brief","carbonbrief.org","https://www.carbonbrief.org/","Climate journalism","United States / national or stated audience","Climate and policy readers","Active, editorially credible climate journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Yale Climate Connections","yaleclimateconnections.org","https://yaleclimateconnections.org/","Climate journalism","United States / national or stated audience","Climate-aware consumers","Active, editorially credible climate journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Climate One","climateone.org","https://www.climateone.org/","Climate media","United States / national or stated audience","Climate-aware consumers","Active, editorially credible climate media with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"The Energy Gang","woodmac.com","https://www.woodmac.com/podcasts/the-energy-gang/","Energy podcast","United States / national or stated audience","Energy professionals","Active, editorially credible energy podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Volts Podcast","volts.wtf","https://www.volts.wtf/","Energy newsletter and podcast","United States / national or stated audience","Energy policy readers","Active, editorially credible energy newsletter and podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Catalyst with Shayle Kann","ctvc.co","https://www.ctvc.co/catalyst","Climate-tech podcast","United States / national or stated audience","Climate-tech audience","Active, editorially credible climate-tech podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Clean Power Hour","cleanpowerhour.com","https://cleanpowerhour.com/","Clean-energy podcast","United States / national or stated audience","Energy professionals","Active, editorially credible clean-energy podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Watt It Takes","wattittakes.com","https://www.wattittakes.com/","Climate-tech podcast","United States / national or stated audience","Climate-tech audience","Active, editorially credible climate-tech podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"My Climate Journey","myclimatejourney.co","https://www.myclimatejourney.co/","Climate-tech podcast","United States / national or stated audience","Climate-tech audience","Active, editorially credible climate-tech podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"The Big Switch","thebigswitchpodcast.com","https://www.thebigswitchpodcast.com/","Climate podcast","United States / national or stated audience","Climate-aware consumers","Active, editorially credible climate podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Living Planet","dw.com","https://www.dw.com/en/living-planet/program-19030042","Environment podcast","United States / national or stated audience","Sustainability audience","Active, editorially credible environment podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Factor This","renewableenergyworld.com","https://www.renewableenergyworld.com/factor-this/","Energy podcast","United States / national or stated audience","Energy professionals","Active, editorially credible energy podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"The Carbon Copy","canarymedia.com","https://www.canarymedia.com/podcasts/the-carbon-copy","Climate newsletter and podcast","United States / national or stated audience","Climate-aware consumers","Active, editorially credible climate newsletter and podcast with audience overlap around homeowner solar decisions.","Editorial guest or data-source pitch","future original research","Transparent homeowner-decision data","Editorial producer page","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","7","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"EnergySage Solar Marketplace","energysage.com","https://www.energysage.com/solar/","Solar marketplace","United States / national or stated audience","US property owners","Active, editorially credible solar marketplace with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Solar Energy International","solarenergy.org","https://www.solarenergy.org/","Solar education nonprofit","United States / national or stated audience","Solar learners","Active, editorially credible solar education nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"NABCEP","nabcep.org","https://www.nabcep.org/","Solar certification body","United States / national or stated audience","Solar professionals","Active, editorially credible solar certification body with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"National Renewable Energy Laboratory","nrel.gov","https://www.nrel.gov/solar/","Energy research laboratory","United States / national or stated audience","Energy researchers and consumers","Active, editorially credible energy research laboratory with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"World Resources Institute","wri.org","https://www.wri.org/energy","Energy research nonprofit","United States / national or stated audience","Policy and sustainability readers","Active, editorially credible energy research nonprofit with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Generation180","generation180.org","https://generation180.org/","Clean-energy nonprofit","United States / national or stated audience","Homeowners and communities","Active, editorially credible clean-energy nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Groundswell","groundswell.org","https://groundswell.org/","Community energy nonprofit","United States / national or stated audience","Community energy audiences","Active, editorially credible community energy nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"National Wildlife Federation","nwf.org","https://www.nwf.org/","Environmental nonprofit","United States / national or stated audience","US consumers","Active, editorially credible environmental nonprofit with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"American Council on Renewable Energy","acore.org","https://acore.org/","Renewable-energy association","United States / national or stated audience","Energy professionals","Active, editorially credible renewable-energy association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Advanced Energy United","advancedenergyunited.org","https://advancedenergyunited.org/","Clean-energy association","United States / national or stated audience","Energy policy readers","Active, editorially credible clean-energy association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
